"Server Name","Alt Name","Guild ID","Invite URL",Region,"Icon URL",Boosts,Members,Online,Messages,"Hourly Activity","Badge Color Primary","Badge Color Secondary"
"Spacefleet Alliance",SFA,454867033729794069,https://discord.gg/EEpZuWf,en,https://cdn.discordapp.com/icons/454867033729794069/a_19437f336964d32591c6905c831b0d90.gif,7,1488,119,6010,"[226,222,227,206,215,137,142,151,95,134,111,166,344,315,346,314,362,327,397,317,389,341,245,281]",#d14242,#ff8989
"United Industries of Hades",UIH,407365945376374795,https://discord.gg/N3uPEvsFY9,en,https://cdn.discordapp.com/icons/407365945376374795/a_774049310e08e952fa6b488793231fba.gif,8,1595,159,5712,"[150,133,236,176,214,307,262,252,138,173,151,156,230,333,342,335,411,317,250,259,267,233,241,146]",#814300,#a88a6c
"Stargate Corp Int'l",,536065295828254732,https://discord.gg/NPUgh72,en,https://cdn.discordapp.com/icons/536065295828254732/be93f024e229228cd26b168b63d297f0.png,0,513,44,5271,"[132,194,224,184,154,122,111,136,118,142,145,175,173,231,335,383,333,369,306,265,318,237,274,210]",#ff0000,#800000
"Stargate Corp Int'l",,536065295828254732,https://discord.gg/6TzxgTY,en,https://cdn.discordapp.com/icons/536065295828254732/be93f024e229228cd26b168b63d297f0.png,0,513,56,5271,"[132,194,224,184,154,122,111,136,118,142,145,175,173,231,335,383,333,369,306,265,318,237,274,210]",#ff0000,#800000
"ARk Ecosystem","Ark Summit",651754869484552193,https://discord.gg/CQDARFKYhx,en,https://cdn.discordapp.com/icons/651754869484552193/d33377edd0a1cd31fb1ced3584098458.png,1,393,43,4889,"[75,115,108,139,153,255,230,192,169,164,157,197,132,333,407,254,332,294,231,225,205,189,226,107]",#ff0000,#800000
"ARk Ecosystem","Ark Summit",651754869484552193,https://discord.gg/teAN7k5Mc7,en,https://cdn.discordapp.com/icons/651754869484552193/d33377edd0a1cd31fb1ced3584098458.png,1,393,40,4889,"[75,115,108,139,153,255,230,192,169,164,157,197,132,333,407,254,332,294,231,225,205,189,226,107]",#ff0000,#800000
"Oceania Alliance",AusCorp,634122759777157130,https://discord.gg/skvJzZH,en,https://cdn.discordapp.com/icons/634122759777157130/a_c7fe0df9949f9e2cb45210c417d46fe4.gif,4,594,58,4875,"[345,251,249,346,182,127,135,258,219,161,252,376,328,185,201,108,104,53,88,146,243,178,157,183]",#3dcefc,#163037
"Oceania Alliance",AusCorp,634122759777157130,https://discord.gg/y9N76B8,en,https://cdn.discordapp.com/icons/634122759777157130/a_c7fe0df9949f9e2cb45210c417d46fe4.gif,4,594,58,4875,"[345,251,249,346,182,127,135,258,219,161,252,376,328,185,201,108,104,53,88,146,243,178,157,183]",#3dcefc,#163037
"ALIANZA HISPÁNICA",,573114531983917059,https://discord.gg/KAguMmM,es,https://cdn.discordapp.com/icons/573114531983917059/3f4e43436af3b2d8c92303b45bd484d3.png,4,717,50,4807,"[208,215,301,234,150,91,42,84,65,107,85,106,181,216,228,275,219,306,260,293,332,312,271,226]",#ff0000,#800000
"Black Star Order",BSO,368229482579886092,https://discord.gg/YTaYrhy,en,https://cdn.discordapp.com/icons/368229482579886092/a_7c69fec8274b5c358b11d853e1178e7b.gif,2,2702,206,4760,"[161,171,216,171,95,119,131,145,145,111,142,138,217,207,259,215,304,277,306,255,318,261,234,162]",#ff0000,#800000
