GoogleCloudStorageKey,Corporation1Name,Corporation1Id,Corporation2Name,Corporation2Id,Corporation1Score,Corporation2Score,DateEnded,DateEndedUnix,posted,Corporation1Comp,Corporation2Comp,matchTimeUnix,matchDay
11aae17b-7a0e-42db-a473-3a8b4d9380de,USSR,775ec12999c2bb5396801268de447d30104b470d9f093ec4afea9c9db71d7690,"TROLL SQUAD",91daecf0251a6a1eee3d92820695d021c1f949e194cc5003d7cdebe59ef4502e,0,31,2023-11-04T17:01:01.2522281Z,1699117261252,1,1,1,1698685261,27
11322c35-1d9d-4f0d-b748-160421a0a872,DTC,4be10b4fa74e6bc45ea50d720527bec8db0312f419a419f203b09350d663c755,Bloodtide,45a33569cb3d53981db18893d92ddeaebd1f7bbc027226150f2c848f336f1905,1,40,2023-11-04T17:01:01.4506012Z,1699117261450,2,1,1,1698685261,27
78c45a14-385b-4949-8ae4-10a1ee5b66cb,"pirates spatial",3ff4602678e19275d9891fa0d9d34ecd5b9bfaf88bb39e35b30372cac2981a40,"Imperium XIII",0d52edf77b0cdeaaea6ebc20a7f5b6a60372b535bf96f556b31e2243dc8ee75a,3,19,2023-11-04T17:01:01.5967781Z,1699117261596,3,1,0,1698685261,27
838258ad-1830-45c6-9ad5-84134bc07b3b,"Спутник",0ae15c4db6dc8c3f4bf3eb6aa93bffd4ea9281b06b721ab103c0078646bfe58c,"혁명군",712800536cbb3ef3357a2480d86cf971596950ac499e699bb3d99f94d1c65f5f,13,5,2023-11-04T17:11:02.9020428Z,1699117862902,4,1,1,1698685862,27
feefae02-6812-409f-aa10-49d4fae13b67,Deadspace,45fc2bf2d1b40361071590e427fa47116d4e5e063064d17ed9933bbd61f04369,"pirates spatial",3ff4602678e19275d9891fa0d9d34ecd5b9bfaf88bb39e35b30372cac2981a40,13,18,2023-11-04T17:21:04.6048521Z,1699118464604,5,1,1,1698686464,27
017cea36-9472-4399-b127-710d835daa09,"Outland Ind.",94cb8827caef9b4b1839113abd29145a128d0c1e108c3984bcf7620dd7fca464,"Торг. федерация",915f197e5951f44128c2a3d3126141cd44b3c67a361158d2b220a5883e410310,25,24,2023-11-04T17:31:05.6529077Z,1699119065652,6,1,1,1698687065,27
10ca803d-83b5-4b17-bec3-25d13cb0fea4,"九州分团",e7374c31c95ba96f5c59c7c1de632517dd4cec2d4680e25e7f34d077133e4d4f,"Gemini Ind.",c85dd45ed75136d750bdcc2d83740494dea9e0ba077eac1bbb2f1a442a92674c,0,23,2023-11-04T17:31:05.9888435Z,1699119065988,7,1,1,1698687065,27
1198a59b-e010-4433-aae8-29a9c06b40a8,"Лунный Феникс",457b7f76314e0ee24752aaf2396afac9027cfbdcca2a9863add962250ccbf389,"九州分团",e7374c31c95ba96f5c59c7c1de632517dd4cec2d4680e25e7f34d077133e4d4f,24,0,2023-11-04T17:46:07.2379492Z,1699119967237,8,1,0,1698687967,27
060ae6d8-44ba-4020-809d-dbd5ba72a0c1,"Curiosity + Cat",c2982821577254a4ce2d996f53a2391f6f059ff79bbb14c29f9463269b4beebf,"The Seperatists",f7afefdba007366512764be38eb9c404704e5d4de919e7df2b17560324bbb56f,4,21,2023-11-04T17:46:07.6482643Z,1699119967648,9,1,1,1698687967,27
18a5b88e-8688-4298-8ffd-6ce86b2f22eb,GermanSpaceUno.,47482f042b35cecaaaf58ee05b6672bab3c49469b039f75f304535ffd2d02491,"Red Dawn",fee852a2530bc5e3cbe5b2a5fdb224d249eeceeb3688cfd71479344181831328,17,20,2023-11-04T18:06:10.6905278Z,1699121170690,10,1,1,1698689170,27
5f95a108-644f-40af-a939-e346f084dabc,"Ten Forward",1dd2ea0ec346eac318541b002d2de1be9cab962eb176f2bc45336222b96e847d,"The X - Files",f13cb0ae2dbb0654a2067c8749f86bce49edc5b520bd391c7af11948f23a41fb,0,12,2023-11-04T18:31:14.4412971Z,1699122674441,11,1,1,1698690674,27
e405cde0-be8f-4239-a922-a7c84bc95e7f,"Orden Estelar ",1da0142a6cc2fcab35a82ff4d7b591f4ffa96761419c6bf39154afded7ef7c2d,"Corp. Estelar 2",6dc3ed66c1c5c48a88912d686edd55b65123c8fe685858c605cf404be090ef62,1,8,2023-11-04T18:41:16.1960297Z,1699123276196,12,1,1,1698691276,27
2b55d004-449d-44a8-bd19-0fde1600a409,"space port",b7f846ef64a9939084bd4bdd17dc441ffa8fdf49f98bc558f79079c6026a4b3a,"Industrial W.O",99a4ba88f6a620cb9ea1da456127c978a858ffbda4e40b255fcf3365515da25d,0,9,2023-11-04T18:42:49.9166255Z,1699123369916,13,1,1,1698691369,27
f6c6cf23-12ed-42d5-801f-b8b7e4594acd,"Sith Empire",7deb3943434ee3aa56bb4c29a0fb0831bcbc4b570a58a2809ea1a549b7df328e,"Nearland Ind",d8104c7dc7af4c8fec4c36c1425f9fe855a195bf4befb2595cad4f8f7bed7ddc,0,35,2023-11-04T19:11:20.4985902Z,1699125080498,14,1,1,1698693080,27
e6c103ba-a271-4445-bca2-5352512a6ba4,111,8d75e4e46c8d7085ee9d2a2cea20a90129b724ea01c8a20b2f43f83bf3de2350,"НИФИГАСЕБЕ",a18fab78c26d983ee99c4cd3c7aaddcfac61283abb2122e9a8ccc44feb2b3196,29,0,2023-11-04T19:11:20.9354449Z,1699125080935,15,1,1,1698693080,27
025ce17f-3395-43b3-9b2e-294ecdd6dba6,"Space Marshalls",6a41cc36abf3a28a1c26bc22843f1892d6938e8eb1e8f8a10fd9e6e964e06c2c,111,8d75e4e46c8d7085ee9d2a2cea20a90129b724ea01c8a20b2f43f83bf3de2350,23,1,2023-11-04T19:16:21.0353894Z,1699125381035,16,1,0,1698693381,28
90c1e990-58a3-45cb-b275-be48ab1ff583,"ANZAC Warriors",dbb190c3127dbab2a3d6d58f1f8f63425f1dbd1949f6442fb2d162e66246b484,SNSS,ce1ae2e5f50044147f2bd8f656c00124d925211038e4ecd23d79c1bd724a8b45,21,4,2023-11-04T19:51:27.8502715Z,1699127487850,17,1,1,1698695487,28
135ab019-aaa3-485f-8689-6f9fbf488940,"Hellfire Club",c7836cb5499149d8631d0f49b7e91f08f0cf47c3bd10a9492ad6a3f7c25d7eab,"Любители Пива",3926c7dd9f82737737ee85bc4f013285cb75f1ef90f5bf4822bf624616570764,12,5,2023-11-04T19:56:28.1026442Z,1699127788102,18,1,1,1698695788,28
70621152-1226-48a8-8cd8-9ab6ffabd363,"Galactic Empire",e2223ab2b582a5eb5ae1734e132358eb3c24ddf61fcbeee7b8f6708f26782108,"Russian Style",db02701745537e2b055f660e59bd465567c4e4b322c16ade37245ed4a40699c8,3,6,2023-11-04T20:06:29.0366739Z,1699128389036,19,1,0,1698696389,28
4f75df53-52aa-4c55-b344-78bc7ea9a4e2,Spacefleet,517f7b257f68936f7a95a478d6923776a2549b88897bae628fd35b23572d3cbd,"Sith Empire",7deb3943434ee3aa56bb4c29a0fb0831bcbc4b570a58a2809ea1a549b7df328e,35,12,2023-11-04T20:41:34.4574623Z,1699130494457,20,1,0,1698698494,28
715bdfe8-43b1-457d-a9ff-7666ba4963e2,CSI,8943af3db9ef34a38f004d6f574b33784a179f4ee83d9a1f71e85b1d8700d315,"Revólver",2560247b1d9fc0ccccf6a9740f3e7cd5d0ebb66444a27e2a259906a476903a45,4,20,2023-11-04T20:56:37.4027Z,1699131397402,21,1,1,1698699397,28
