CorporationId,CorporationName,EloRating,EloCRating,Win,Lose,Draw,c_Win,c_Lose,c_Draw,bonusEnd,discord
a075d54242806374b2fc020c48e0e4ab4077ac72faeeae7568400e0e48790289,"Неизбежный Рок",1583.97056769708,1980.48639739835,241,47,1,159,10,1,1778651220,QrVCb9V2hX
430376e86f786afe6d4201e70b5fd09f2cdd41ca6d81ee693737e3361c06a1f4,Likapa,1790.76941815725,2117.71612786906,228,16,0,129,2,0,1778497173,3CE2zAs
28f06b2ed8c2d55fe437095ed09cf6559986f0bb3ea5ff99509341b5dbf04d65,"六大天神",1329.63967228578,1934.96625637093,220,109,3,156,11,2,1778373696,""
1621eab3bcc1ebffe496faadcde81cd31c503b2ac667ef88fbf2d64ea1f9908b,"IX Легион",1841.75201662729,2161.18527511507,204,50,0,131,4,0,1778314204,fc2eg8hNJm
ea5fb17c8fcf67a15bd5a194549206adba2279a79973a34bcfd0abb1e3cf9107,Continuum,1383.71970174879,1987.55591000822,196,96,3,134,22,2,1778319911,BaF8Wk9mFp
e2741eb5c16b8ee8bb67a529e90c2891eaa23eddfb2a911cc0f3687d5a47c75e,"Blood Hounds",1499.33749506762,1960.66275751154,195,46,3,119,4,1,1778733010,https://discord.com/invite/jMqZD8XskE
888c6867d19667e4ed2d1c33723960d52d5f92fd8a93eb6ff380d218604939fb,"ДИВЕРСАНТЫ",1646.0630543757,2023.86152613241,192,41,1,149,16,1,1778651896,""
e8532ebca58cb402f027fdb3db24507799f38a7123ef124fae8ab7591dac77bd,"仙女座星雲",1571.62926937119,1923.10871857,188,103,5,143,12,0,1778658977,snwFMgDPms
15bb6468a62584f5281a81614dde743b4bbf2196289e4c346da53f96e2e140c1,"Слава Украине!",1300.17385186447,1847.8756673801,183,97,2,142,19,0,1778395925,discord.com/invite/fMHDk5sQ
e7374c31c95ba96f5c59c7c1de632517dd4cec2d4680e25e7f34d077133e4d4f,"九州分团",1357.36179598921,1707.40070217494,178,131,4,118,44,2,1777934730,https://discord.com/register
a33256c155b161f595303ef4302912cc63ddfe306cad3f53457cf55508dcad75,"Auscorp ",1518.85055766138,2076.80047938876,176,37,2,130,13,1,1778418758,skvJzZH
05ada6d14c0c53422b434d3d55b1440370f85e96f93c74992cb8c4eb8f5503ba,BrinySeal,1362.02065022281,1807.40843374445,165,80,5,136,36,3,1777375317,https://discord.gg/7cD2V9vm
4e8d4cb194326b25a28e388b58632db164a368d6dc7ed5a8f4cfcab7a54c239c,"Тихий Омут",1171.14821289435,1584.078158164,163,136,3,123,30,0,1778650694,""
b698cd0d86be60954a4b995f79fffe102a71c350e47fbdc2a5827f0ed0ca455d,"Stargate Corp",1582.20513255508,2186.51645281849,162,62,1,118,14,0,1778360780,sXxSq4KUmm
d8104c7dc7af4c8fec4c36c1425f9fe855a195bf4befb2595cad4f8f7bed7ddc,"Nearland Ind",1463.74108646296,2012.99021399321,159,70,0,117,14,0,1778354168,vPsNNxs
74b60d3e331a6a56ea4d17f4444f02a50808c013285ee0e0ccd54e4594e5e11b,"русь ",1433.60002538206,1964.59229743032,150,81,2,104,20,2,1778460824,bjmmfFx
e75857448fb1e8d620c964ec4abe23f7e07374a4a70fde79f655862152e8f428,"BlackStar Order",1338.01908748756,1915.39451741787,146,116,1,112,25,1,1777763182,YTaYrhy
051a82098a716580383e9ab0d025dd67a8e7ad93da00f1610c449a784f3dc825," RELAX CZ/SK",1280.98124243003,1782.87027489668,146,108,1,104,25,0,1778278458,d3bTgrEYmr
9291f24e53a2d2d23f3f2fa934a9db2247ebfc94e3a48666dbdf0e2d160c4cfd,"СССР",1504.42099962632,1979.0659532818,144,61,2,114,19,0,1778297982,aWj7XRq
e80002cbc38034342376acee2274117d3b6150fce2d47bbd1dbf75cd06d8e258,OPA,1566.20519296651,1933.34077163237,143,48,0,110,17,0,1778599923,2RmfWZB777
3ff4602678e19275d9891fa0d9d34ecd5b9bfaf88bb39e35b30372cac2981a40,"pirates spatial",1473.09935202603,1866.54070410035,142,88,0,104,24,0,1778317207,wZcGGNZ
3a4286c6f512d1e0b6d9866b1a1bb0f29abc36fd4a82b7b2cb39df192fce125d,"Hinterm Mond",1430.33397037811,2075.82275158061,141,105,1,113,17,0,1778336738,SK46885
5d195a83bdec92e83e1f97ed8b05b35254ade000cd6ca979b81921c702b34a23,VoidRunners,1134.23375274168,1550.1387314523,141,164,2,111,47,1,1778424167,vmbXh7r7yt
fc3e5142b08821a025c19f7e687a2ba97cc1e728d81555f077feb04f3839c4a0,"柯伊伯带",1240.48265955859,1754.34589748727,140,89,1,111,26,1,1778627265,xa5t5sD3Hx
44e91582df527f0e9d3977b4c713db38b9c73a98e95ba353eccdcc601e64d027,"Stellar Exports",1419.72385180039,1854.338694939,139,100,1,104,26,0,1778486057,nBrqgsV
04ae72b5736fbdc80a2fe9e4c2baaad3258a1e0ef0acc8122295fb64d6b3d292,"three kitties",1300.76785674706,1725.28609772748,126,75,7,98,24,4,1778362583,YPC7XenfdY
71bc7ab0134ea1a0c057680d9d8465bd65b54fc1c78d9b7b9b582baabfd46e0d,Ender,1279.08770580033,1826.04976971163,124,94,1,110,31,1,1778651896,EEpZuWf
8d4aad97eccabbf26608245f090064005878474e1712d6b08f7328df6075450d,"Серебряная орда",1313.74826960557,1696.97537838931,120,107,4,97,41,2,1778253815,p6rrFevJbJ
8c9069f3ec3e766d51d76851b0d21a0fb065a026e597cfebc7d8cc8cbf2b998f,TheBasics,1234.93060315651,1659.97783499136,120,142,3,94,47,1,1778517004,pTS382n7ZR
2b4a8af17754b61359e653f9b3bdd80e0f3498a09bf2323c4365fdf0241988a1,"对，进就进人少的",1247.07437329541,1728.39663704874,119,121,6,97,35,3,1777951250,dqW4bytGPe
8d75e4e46c8d7085ee9d2a2cea20a90129b724ea01c8a20b2f43f83bf3de2350,111,1399.66312065185,1683.26220244547,118,40,0,115,28,0,1777966569,""
